hospital_name,staffed_beds,total_payments,copd_total,copd_ratio,ami_total,ami_ratio,pneumonia_total,pneumonia_ratio,hip_knee_total,hip_knee_ratio,hf_total,hf_ratio
SOUTHEAST MISSOURI HOSPITAL,0,21992138,852931,0.9983,342960,1.0188,1399243,1.0979,,0.9684,1040811,1.0156
POPLAR BLUFF REGIONAL MEDICAL CENTER,0,21540211,1339831,1.1080,,1.0962,1056106,0.9373,1472229,1.0523,1357166,1.1127
FREEMAN HEALTH SYSTEM - FREEMAN WEST,413,42920244,980723,0.9423,483461,0.8912,1932799,0.9034,3840475,0.7248,1065909,0.8986
ST LUKES HOSPITAL OF KANSAS CITY,0,42594996,835804,1.1214,804014,1.0635,1123842,1.1011,1675843,1.0058,2196562,0.9683
UNIVERSITY OF MISSOURI HEALTH CARE,472,31788061,,1.0429,,0.9976,852797,0.9012,4953842,0.9496,992171,0.9512
DES PERES HOSPITAL,140,12972791,307872,0.9653,,1.0397,620591,1.1706,2896785,1.1929,,0.9224
LIBERTY HOSPITAL,220,19372100,1128321,1.0657,,1.0120,1149576,0.9707,2579127,1.3301,965306,0.9826
LAKE REGIONAL HEALTH SYSTEM,116,15527914,929366,0.9615,650085,0.9470,1329930,0.8560,1591504,1.1704,1133393,1.1479
BILLINGS CLINIC HOSPITAL,257,23306706,466940,0.9491,,0.8403,1042196,0.9197,3193291,0.7380,1134329,0.6997
BENEFIS HOSPITALS INC,0,20272207,630841,0.9816,294728,0.9184,719965,0.9238,,0.8406,862013,0.8337
ST VINCENT HEALTHCARE,240,22303878,335059,0.8823,,0.8641,1083345,0.9164,4970229,1.0670,995414,0.8544
KALISPELL REGIONAL MEDICAL CENTER,273,12437327,423708,0.9192,,0.8076,653267,0.8734,,0.7887,485669,0.8299
BRYAN MEDICAL CENTER,0,37498801,1161280,0.9933,650119,0.9194,1863336,0.9222,4417399,0.6422,1299462,0.7747
GOOD SAMARITAN HOSPITAL,313,193353792,679282,0.9687,605267,0.9213,922529,0.8947,3455417,0.5748,1209231,0.9527
THE NEBRASKA MEDICAL CENTER,0,45606647,850218,0.9507,,1.0043,1277644,1.0293,3802513,0.9379,1681873,1.0037
SAINT ELIZABETH REGIONAL MEDICAL CENTER,260,27188286,585241,0.9277,,0.9578,1282218,0.9784,6692921,0.6736,864394,0.9803
THE NEBRASKA METHODIST HOSPITAL,502,25715664,700106,1.0381,,0.9575,1250535,1.1319,4275372,0.8245,1075260,0.8793
ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,,24908580,892672,1.0047,,0.9398,534370,0.9392,3779898,0.7511,1262863,0.8837
REGIONAL WEST MEDICAL CENTER,0,11981102,388201,0.9518,494187,0.9546,936917,0.9639,1895968,1.1547,501559,0.8931
FAITH REGIONAL HEALTH SERVICES,532,10640879,309645,0.9232,,0.8579,704162,0.9178,,0.7482,564680,0.9255
NEBRASKA HEART HOSPITAL,54,5463237,,0.0000,,0.8725,,0.0000,,0.0000,455591,0.7840
RENOWN REGIONAL MEDICAL CENTER,607,49040247,1511235,0.9698,772811,0.9375,1706544,1.0928,3158831,1.0399,1731040,1.0100
SUNRISE HOSPITAL AND MEDICAL CENTER,641,43782367,1959385,1.0797,985066,1.0849,1398527,1.0364,1699462,1.0315,1920674,1.1424
SAINT MARY'S REGIONAL MEDICAL CENTER,153,16249848,357527,1.0253,348008,0.9681,880439,0.9908,,0.9295,794495,0.9367
CARSON TAHOE REGIONAL MEDICAL CENTER,190,26993674,1283608,0.9196,947374,0.9381,1527519,0.8843,2276509,0.9821,1534846,0.9670
DESERT SPRINGS HOSPITAL,293,16890385,605717,1.0333,,1.0802,690881,1.1033,904957,1.2519,808137,1.1052
MOUNTAINVIEW HOSPITAL,340,39302208,1412418,1.1205,664593,1.0128,1324581,1.1077,1605497,0.9639,2144774,1.1294
ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,219,27524632,703842,0.9860,,0.9170,840510,1.0144,6005671,0.9701,1104389,0.9197
ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,147,9618936,359911,1.0646,,1.0562,501589,0.9108,,1.0379,591760,1.0597
CONCORD HOSPITAL,206,29549992,1245595,1.0266,440849,0.8650,1559886,1.0186,6548036,0.7829,1101452,0.9837
MARY HITCHCOCK MEMORIAL HOSPITAL,0,61395334,612673,0.8409,2061251,0.7931,1195830,0.8628,6992007,0.7545,1610080,0.7637
LAKES REGION GENERAL HOSPITAL,88,9387283,,0.9365,,0.9050,,0.8918,,1.0398,,0.9392
ELLIOT HOSPITAL,244,22247733,1476572,0.9801,,1.0147,1461822,0.9254,2505379,1.0941,1013642,1.0717
WENTWORTH-DOUGLASS HOSPITAL,115,14265087,944882,0.9511,285614,0.9717,754831,0.9399,1882813,1.0040,930467,0.9494
PORTSMOUTH REGIONAL HOSPITAL,145,15507635,298154,1.0600,,1.0621,,0.9567,3287313,0.8516,843109,0.9411
CATHOLIC MEDICAL CENTER,227,22756983,1191579,0.9191,869168,0.8703,1279059,0.9748,,0.8827,1160108,0.9589
HACKENSACK UNIVERSITY MEDICAL CENTER,691,89352405,1944888,1.0354,1272342,1.0823,2881326,1.0596,9933416,1.0228,5258807,1.0603
NEWARK BETH ISRAEL MEDICAL CENTER,512,47816189,2087693,1.0970,,1.0301,1042010,1.0806,,1.2949,4280025,1.0890
"ST MARY'S HOSPITAL, PASSAIC",210,26124568,849787,1.0967,,1.0196,1309804,1.0887,,0.9186,2463733,1.0040
CLARA MAASS MEDICAL CENTER,353,37946297,1568813,0.9684,1096881,0.9990,849538,1.1222,2735022,1.0524,2877740,1.0259
UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,317,26059608,585949,1.0019,652553,1.0321,991938,1.0219,4243280,0.9747,1400968,1.0118
VALLEY HOSPITAL,0,79699093,2387843,1.0676,2462326,1.0298,2971385,1.0579,6330099,1.0978,4213934,1.1358
COOPER UNIVERSITY HOSPITAL,499,43805572,1048976,1.0214,866489,1.1905,,1.0614,,1.0025,2164296,1.0796
MORRISTOWN MEMORIAL HOSPITAL,,84845730,1607236,1.0316,1882962,1.0509,2706012,0.9173,12243267,0.9935,3789445,0.9780
CHILTON HOSPITAL,,23358897,1085791,1.0899,713069,1.0013,1308219,0.9489,,1.0683,1256448,1.0554
ST JOSEPH'S REGIONAL MEDICAL CENTER,685,87662556,2522438,1.1576,1523281,1.1440,2226928,1.0135,4518889,1.2670,5676475,1.2432
VIRTUA WEST JERSEY HOSPITALS BERLIN,0,65382932,3317161,1.1250,1592462,1.0499,3253153,1.1798,6256800,0.9762,3483895,1.0616
OUR LADY OF LOURDES MEDICAL CENTER,350,33262435,1029076,1.1209,1396682,1.0218,1047944,1.0212,,0.0000,2092295,1.0200
DEBORAH HEART AND LUNG CENTER,89,18703932,,0.9782,540996,1.0755,,1.0398,,0.0000,984509,1.0296
SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER,,37656409,1958567,1.0146,1124810,0.9034,1789196,0.9708,2044800,0.9303,4059611,1.0103
RIVERVIEW MEDICAL CENTER,270,23599764,920327,0.9351,494836,1.0279,975092,0.9619,3139078,0.9630,1543196,1.0898
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,610,74293510,1511536,1.0321,1177990,1.0952,2673083,1.0615,3758788,1.0730,4848566,1.0008
COMMUNITY MEDICAL CENTER,488,75756180,5607857,1.0003,2737334,1.0966,2829632,0.9702,4817129,0.7635,5373706,1.0991
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,198,13088582,604848,0.9794,385770,0.9924,601371,1.0400,,1.4559,773061,0.9888
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,283,43436525,869064,1.1331,753822,1.0310,1100974,1.0415,3768492,1.1806,2237439,1.0697
SHORE MEDICAL CENTER,296,27151296,895708,1.0202,680218,1.0551,625756,1.0288,,0.8703,1483751,1.0831
SOMERSET MEDICAL CENTER,,35993064,1513543,1.0442,1286039,1.0319,1404419,0.9750,,1.0052,2583161,1.0599
SAINT CLARE'S HOSPITAL,0,32193131,1388310,1.0207,947164,1.2538,1218545,1.0399,2496275,1.0015,2463015,1.0975
OVERLOOK HOSPITAL,,52097623,1291133,0.9341,1313725,0.9574,2651942,0.9071,3403883,1.2410,3559947,0.8917
OCEAN MEDICAL CENTER,259,39651518,1814951,1.0331,1054149,1.0189,2141637,1.0201,4415442,0.7799,3702465,1.0138
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,0,33318704,1264319,1.0133,987011,0.9992,1357932,0.8833,4992635,1.0773,2319741,1.0337
JERSEY SHORE UNIVERSITY MEDICAL CENTER,546,57637002,1909580,0.9356,969394,1.0080,1712054,0.9549,3841417,0.9643,4114047,1.0193
MONMOUTH MEDICAL CENTER,346,27910727,1165883,0.9869,,0.9080,986676,0.9632,2709932,1.1231,1793356,0.9198
UNDERWOOD - MEMORIAL HOSPITAL,,24622667,1240847,1.0297,507772,1.0224,1223723,1.0848,1131497,1.1099,1754987,1.1146
KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,0,73101932,3879309,1.0951,1783783,1.0851,3753833,1.1728,4202827,1.1078,5541394,1.1752
JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,445,43554557,1450243,1.1860,1012370,1.0182,2121436,1.0272,,0.9094,3164449,1.0805
CENTRASTATE MEDICAL CENTER,264,28679816,1507799,0.9530,880401,1.0678,1757526,0.9518,,1.3351,1825444,0.9905
LOVELACE MEDICAL CENTER,292,23367331,,0.9079,756314,0.8433,,0.9264,,1.1351,1178556,0.8743
MEMORIAL MEDICAL CENTER INC,298,16328995,607831,0.9474,360092,0.9812,992727,1.0209,,0.9732,723347,0.9423
CARLSBAD MEDICAL CENTER,115,4846121,291178,0.9551,,0.0000,352459,0.9977,,0.8817,383645,0.9879
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,98,16340912,448984,0.9811,,0.9319,630391,1.1225,,1.2278,746639,0.9964
LOVELACE REGIONAL HOSPITAL - ROSWELL,26,2031985,,1.0257,,0.9689,,1.0115,,0.9505,272143,0.9604
KALEIDA HEALTH,0,68905918,2050907,0.8878,1935263,1.0827,2017142,0.9483,8020904,1.0131,3272406,0.9796
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",0,19324183,923306,1.1295,706471,1.1011,1332834,1.0943,2579152,1.1167,1268814,1.0413
ALBANY MEDICAL CENTER HOSPITAL,670,49336837,865858,1.0413,,1.0330,,1.0702,3257495,0.8167,1333222,1.1122
VASSAR BROTHERS MEDICAL CENTER,365,47201899,1747009,1.1181,839891,0.9388,2095696,1.1247,,0.9626,3158280,1.1250
MOUNT SINAI HOSPITAL,0,160862935,3844164,1.1582,,1.0215,4065840,1.0859,7168622,0.9901,6958440,1.1293
SOUTHSIDE HOSPITAL,302,30718161,1214780,1.0331,,1.0503,1336588,1.0628,,1.0316,1778825,0.9654
FAXTON-ST LUKE'S HEALTHCARE,0,23659037,952401,1.0543,,1.0162,1234174,1.0537,,0.8982,1282564,1.0844
ST PETER'S HOSPITAL,124,41539479,333682,1.0040,739764,0.9607,670549,1.0144,1767041,0.8481,434666,0.9350
MONTEFIORE MEDICAL CENTER,0,182519382,5349961,1.0785,2770620,1.0909,5230686,1.0641,4917574,1.0838,14052129,1.1305
ST FRANCIS HOSPITAL,180,52901532,550198,1.0058,,1.0503,564804,1.2005,618299,0.9913,685346,1.0059
SISTERS OF CHARITY HOSPITAL,478,17983768,594270,1.0238,,1.0286,503644,1.0064,,0.8481,1151213,1.0064
ARNOT OGDEN MEDICAL CENTER,240,18410164,1093272,0.9937,604969,1.0052,965323,1.1312,1810023,1.0285,918711,0.9690
NEW YORK-PRESBYTERIAN HOSPITAL,0,254784924,3630652,0.9840,4058081,1.0402,6769432,1.1235,9103459,1.0663,12387799,1.0925
NORTH SHORE UNIVERSITY HOSPITAL,1024,120153556,2647199,1.0375,1787036,1.1582,3116627,1.0053,5902708,0.9334,5539472,1.0541
PECONIC BAY MEDICAL CENTER,177,21347454,717558,0.9846,612614,1.0121,1007000,1.0055,4592324,0.9675,1467335,0.8654
LENOX HILL HOSPITAL,488,59814533,974598,0.9939,903267,0.9779,1776640,1.2543,7335238,0.9122,1837949,1.0030
ROCHESTER GENERAL HOSPITAL,528,32830174,863461,1.0146,1299170,0.9466,676722,0.9800,1567871,1.0441,2123102,1.1566
ORANGE REGIONAL MEDICAL CENTER,384,49012711,1808870,1.1673,1178842,1.1253,1938969,1.2530,4426966,1.0952,2465708,1.1313
MARY IMOGENE BASSETT HOSPITAL,0,25238259,779257,0.9635,728057,0.9603,1157863,0.9791,3834935,1.2184,1592332,0.9291
ST JOSEPH'S HOSPITAL HEALTH CENTER,431,66756644,2061832,0.9870,1289259,1.0327,3714143,1.1100,8219311,0.9533,3474977,1.0743
ELLIS HOSPITAL,432,30256010,777865,1.0326,1091280,0.9129,1224618,0.9778,2582012,0.8824,1980462,0.9002
GOOD SAMARITAN HOSPITAL OF SUFFERN,437,38803423,1224017,1.1023,1146429,1.1813,1108795,1.0841,,0.9466,1441466,1.0575
STATEN ISLAND UNIVERSITY HOSPITAL,0,72819856,3310758,1.2049,1037597,0.9623,1512411,0.9806,,1.0216,2107154,0.9194
WINTHROP-UNIVERSITY HOSPITAL,505,65950330,1696120,0.9732,1023259,1.0353,2724586,1.0098,4108414,1.1155,3797331,0.9258
BETH ISRAEL MEDICAL CENTER,0,133085252,3962762,1.2269,2356234,1.1300,5681849,1.2159,6241334,1.1032,5747099,1.1848
"ST FRANCIS HOSPITAL, ROSLYN",364,53626773,1180099,0.9695,1384905,0.9831,1129814,0.7797,2372016,0.9931,3496912,0.9658
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,248,28951059,1636254,1.0581,986861,0.9289,1375710,0.9490,,0.9553,2213385,1.0918
GLENS FALLS HOSPITAL,410,22810357,1351691,0.8614,618732,0.9796,851027,0.9585,,0.9928,1343922,1.0192
MAIMONIDES MEDICAL CENTER,711,124323561,2909940,0.9486,4460662,1.0297,3233453,1.0266,3081415,0.8336,8782961,1.0984
LONG ISLAND JEWISH MEDICAL CENTER,993,82233546,1200183,1.0266,,1.0842,1487053,1.0706,4268631,1.0740,4379030,1.0563
SOUTH NASSAU COMMUNITIES HOSPITAL,364,46945906,1821234,1.0245,843415,1.1428,1581917,1.0812,3302692,0.9530,2107587,1.1089
CROUSE HOSPITAL,501,38361501,876696,0.9682,,1.0017,1373460,1.0062,3324025,0.9335,2063806,1.1152
NYU HOSPITALS CENTER,0,90026775,1120063,0.9919,1283157,1.0026,2073963,0.9172,13809034,1.0775,4072368,0.9414
SARATOGA HOSPITAL,207,13184358,448620,1.0614,,0.9690,766851,0.9301,1741364,0.8887,777100,1.1398
BENEDICTINE HOSPITAL,,3109686,,0.0000,,0.0000,,0.9569,,0.8957,,0.0000
WESTCHESTER MEDICAL CENTER,652,30070896,,1.0653,1118556,1.0706,,0.9880,,0.8489,1247471,1.0420
NEW YORK METHODIST HOSPITAL,591,73960547,2659856,1.0717,,1.1801,3041214,1.2003,3071714,1.2554,4190636,1.1393
UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,0,53931001,1096880,1.1082,1214747,0.9212,1889490,1.1773,2733486,0.8413,2658236,1.0940
ST ELIZABETH MEDICAL CENTER,0,22880776,990757,1.0185,,0.9842,1147199,1.0722,,0.9283,1668532,1.0789
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,0,31218602,1563028,0.9119,1244539,1.1006,1663898,0.9678,2666947,1.0324,1874913,0.9420
ST LUKE'S CORNWALL HOSPITAL,0,30382233,1153450,0.9906,818037,1.0145,1921590,1.1162,2332761,1.0764,2228057,1.1246
STRONG MEMORIAL HOSPITAL,793,41029603,749066,1.0208,773168,1.0718,927277,0.9969,,0.0000,2360415,0.9947
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,0,47630317,2231894,1.0415,910640,0.9747,2090702,1.1081,,1.2489,2310532,1.0752
LUTHERAN MEDICAL CENTER,359,58708920,1903775,1.1522,,0.9988,1274241,1.0778,,0.9030,2653961,1.2476
"UNITED HEALTH SERVICES HOSPITALS, INC",0,33957977,893956,1.0213,1458258,1.0028,1442793,0.9673,3795871,0.7433,1628723,1.0057
CAROLINAS MEDICAL CENTER-NORTHEAST,457,50689505,2007509,1.0170,868525,0.9900,1986382,0.9760,5013750,1.1065,2965157,1.0027
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,0,96154502,2850774,0.8675,2538980,0.8795,3226086,0.8601,12397833,0.9485,4177818,0.8240
HIGH POINT REGIONAL HOSPITAL,326,26772809,821515,0.9588,,0.9269,1246002,1.0486,2486762,0.9124,1951207,0.9947
FORSYTH MEMORIAL HOSPITAL,,58087612,1709570,1.0523,923432,0.9772,2527038,0.9506,6137080,0.9281,2436850,0.9784
MARGARET R PARDEE MEMORIAL HOSPITAL,0,17163094,567526,0.9250,398395,0.9578,807409,0.8685,4276786,0.8595,803635,0.8389
CLEVELAND REGIONAL MEDICAL CENTER,353,22686000,822297,0.9627,494451,1.0165,1009303,0.9626,,1.0669,1424047,0.9744
LENOIR MEMORIAL HOSPITAL,198,18052021,1059666,0.9754,699379,1.0343,990650,0.9446,,0.9775,1893464,0.9469
CAPE FEAR VALLEY MEDICAL CENTER,0,78809814,2525775,1.0485,1496548,1.0601,2723089,1.1498,6121831,1.0697,5728837,1.0133
DUKE UNIVERSITY HOSPITAL,819,84355805,1238239,0.9906,,1.0019,,1.0310,7930157,0.9139,4050320,0.9671
GASTON MEMORIAL HOSPITAL,,57709763,1009559,0.9140,1026007,0.9555,2277791,0.9848,3987384,0.8937,2987824,0.9286
VIDANT MEDICAL CENTER,861,126560483,2264795,1.0553,3404732,1.1195,2345173,1.0448,7430586,1.2137,6807042,1.1165
NORTH CAROLINA BAPTIST HOSPITAL,0,86933608,1637090,1.0898,926133,1.0520,2510577,1.1487,4269918,1.1361,3720676,1.0522
SOUTHEASTERN REGIONAL MEDICAL CENTER,433,42429215,2083475,1.0256,,1.0916,2306726,1.1177,,1.0361,3158054,1.1217
PRESBYTERIAN HOSPITAL,803,84101752,896840,0.9639,630841,1.0782,1611288,1.0381,6745319,0.0000,1217116,0.9583
"WAKEMED, RALEIGH CAMPUS",671,82818731,1616518,1.0758,2446389,1.0349,1973456,0.9182,3121316,1.0727,4699475,0.9870
ALAMANCE REGIONAL MEDICAL CENTER,218,20006849,,0.9403,550706,0.9328,,1.0473,1871496,0.9127,1535759,0.9842
DUKE HEALTH RALEIGH HOSPITAL,148,17301615,447634,0.8721,,0.9915,333572,0.8656,3888459,1.1687,442205,0.9788
"MOSES H CONE MEMORIAL HOSPITAL, THE",0,77642423,1609665,0.9644,1483974,0.8463,3630012,0.9531,9398126,0.9892,4083900,0.8847
ALBEMARLE HOSPITAL AUTHORITY,,15174068,1056770,1.0527,888187,0.9220,595662,0.9543,,1.0226,881031,0.9599
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,998,84843527,1655370,1.0062,1618567,1.0692,1750193,0.9477,1990506,0.8496,3294119,0.8769
REX HOSPITAL,553,45675953,791975,0.9907,887766,1.0140,951275,0.8824,7197560,0.8900,2287783,0.9116
FIRSTHEALTH MOORE REGIONAL HOSPITAL,457,64317582,2167109,1.0090,1254920,1.0171,1987122,1.1013,8896482,0.9468,3511692,1.0166
FRYE REGIONAL MEDICAL CENTER,355,23927439,690918,1.0109,495530,0.8576,1024186,0.9651,2568998,0.9815,860648,0.8505
CAROLINA EAST MEDICAL CENTER,309,46305537,752885,0.8925,936609,0.9694,1400052,0.9284,5155495,0.9013,2641533,0.9656
NEW HANOVER REGIONAL MEDICAL CENTER,721,100246578,1495190,0.8717,1728966,1.0061,2910560,0.9400,13184374,1.1055,5283767,0.8784
CATAWBA VALLEY MEDICAL CENTER,258,16982795,580912,0.9361,,1.0273,,0.9634,3311914,1.0078,,0.7957
NASH GENERAL HOSPITAL,353,35951091,1461891,0.9866,1109473,1.0369,1991779,1.0348,,0.9501,2801152,1.0222
ST ALEXIUS MEDICAL CENTER,245,58617237,1391913,0.8991,531804,0.9058,1908205,0.9056,2963010,0.6644,1903659,0.7982
TRINITY HOSPITALS,0,15934628,663052,1.0037,,0.9614,1381114,0.9733,2993694,1.0331,675580,0.8779
SANFORD MEDICAL CENTER FARGO,458,52376736,758050,0.8817,956156,0.8566,1541970,0.8540,11239057,0.6347,2254232,0.8804
SANFORD MEDICAL CENTER BISMARCK,205,20310387,,0.9721,,0.9514,1218405,0.9536,,0.9447,1077842,0.9738
ALTRU HOSPITAL,273,27041045,701908,0.8961,,0.9839,1113150,0.9783,4316798,0.8704,1367343,0.9435
ESSENTIA HEALTH-FARGO,105,13382990,392074,1.0014,,1.0212,385991,1.0501,,0.9216,732575,0.9941
RIVERSIDE METHODIST HOSPITAL,755,73439463,1556574,1.0230,789633,1.0406,1410033,1.1027,7927749,1.0891,2405108,0.9894
SOUTHERN OHIO MEDICAL CENTER,209,26293751,1693832,1.0289,855620,1.0796,1527164,0.9257,,1.2157,1632129,0.9193
LIMA MEMORIAL HEALTH SYSTEM,208,13599859,762529,0.8593,,1.0325,,1.0099,,1.0147,,0.8766
MOUNT CARMEL ST ANN'S,254,18685890,735377,1.1186,,1.0936,943476,0.9996,3363779,1.0415,929093,0.9403
"JEWISH HOSPITAL, LLC",0,23059484,487223,1.0346,,1.1581,801593,0.9841,2674164,0.8016,1585725,1.1236
GRANT MEDICAL CENTER,377,40950495,2033438,1.0599,449488,0.8969,1120070,1.1363,4199196,1.3887,1597341,1.0390
SUMMA HEALTH SYSTEM BARBERTON HOSPITAL,190,11549872,850262,0.9914,,1.1491,768962,1.0167,,1.0393,1105453,1.1011
SUMMA HEALTH SYSTEMS HOSPITALS,0,46686267,1909189,1.0487,622005,1.1038,1984201,1.0111,479806,0.0000,2476513,0.9732
FIRELANDS REGIONAL MEDICAL CENTER,221,17867563,726703,1.0195,,0.8860,870825,0.8839,,0.9520,1197460,0.9812
AKRON GENERAL MEDICAL CENTER,436,42072238,1149334,1.0306,1074790,0.9816,2534450,1.0127,2431224,1.3534,2719659,0.9573
MOUNT CARMEL HEALTH,,51266507,2044166,1.0745,709339,0.9187,2366250,1.1020,4610233,0.9447,2495531,0.9200
GENESIS HEALTHCARE SYSTEM,0,40438943,2459477,0.9934,736199,1.0379,1786427,0.9965,,0.9951,2115658,1.0247
UNIVERSITY OF TOLEDO MEDICAL CENTER,0,28065888,746743,1.0640,526535,1.0151,755452,1.0697,1715677,1.1954,1337544,0.8841
MIAMI VALLEY HOSPITAL,826,53921032,1683909,0.9755,948487,0.9602,2292712,1.0119,2931765,1.2095,2637470,0.8842
HOLZER MEDICAL CENTER,197,10437976,975977,1.1281,424320,1.0828,984128,1.2701,,0.0000,957200,1.0937
MERCY HOSPITAL FAIRFIELD,206,21397397,788476,1.0590,302456,1.0709,996911,1.0499,1135085,1.1034,1499375,0.9988
METROHEALTH SYSTEM,639,35920644,1641344,1.0453,,1.1817,,1.0629,,1.2487,2486379,1.0590
ST ELIZABETH HEALTH CENTER,409,27190548,846356,1.0769,,1.0189,852817,1.1024,,1.0974,1744507,1.0497
ST RITA'S MEDICAL CENTER,380,34240308,1378470,1.0037,898987,0.9998,1276123,0.9336,2328766,0.7636,1420236,0.9668
TOLEDO HOSPITAL THE,0,43798719,1199739,0.9309,1088608,0.8209,1038724,0.9652,4732195,0.9654,2078635,0.8791
FAIRFIELD MEDICAL CENTER,212,17860529,613203,1.0472,477629,1.0465,707532,1.0378,,1.0906,1330858,1.0211
FAIRVIEW HOSPITAL,399,30627712,1910106,1.0917,,1.0249,1088913,1.0227,1475594,1.1926,2394765,1.0572
KETTERING MEDICAL CENTER,388,33003029,870951,0.9870,400577,0.9557,834376,1.1298,5709743,0.6428,1454979,1.0719
EAST OHIO REGIONAL HOSPITAL,134,4076018,477863,1.0996,,0.9999,,1.0539,,0.9302,,1.0727
AULTMAN HOSPITAL,582,30287142,901236,1.0106,,1.0540,1337275,0.9593,2542057,1.2179,1675742,0.9627
OHIO STATE UNIVERSITY HOSPITALS,0,73265340,1966947,1.0464,,1.0643,1893147,1.1514,2249412,1.0936,3378523,0.9328
ST LUKE'S HOSPITAL,0,18792852,991919,0.9794,,1.0030,705795,1.0333,,1.2268,1074661,0.9702
BLANCHARD VALLEY HOSPITAL,150,10601536,447672,0.9365,312155,0.8631,676097,0.8504,,0.9090,422953,0.9530
LAKE HEALTH,0,34759290,1558345,1.0278,541613,1.0563,1799577,1.0490,3195966,1.1542,2391233,1.0810
MERCY ST VINCENT MEDICAL CENTER,394,45590534,1710519,0.9884,1522279,1.0120,1132739,1.0448,,1.0916,2676519,1.0158
MEDCENTRAL HEALTH SYSTEM MANSFIELD HOSPITAL,224,20339873,1480685,1.0707,917369,0.9867,1851444,1.0213,,0.8047,1032224,1.0458
ST JOHN MEDICAL CENTER,170,22448007,1110954,1.0439,,1.1064,1107688,0.9209,,1.1291,1263749,1.1330
GRANDVIEW HOSPITAL & MEDICAL CENTER,278,16812945,660895,1.0384,,1.0685,927035,1.0937,1998537,1.0128,1251614,1.0779
UNIVERSITY HOSPITALS OF CLEVELAND,,65067154,1418554,1.0922,,1.0205,1240285,1.0498,5135520,1.1274,2702807,1.0426
MARYMOUNT HOSPITAL,315,19755681,1483700,1.0526,,1.0642,1380740,1.1742,,1.3120,1302140,0.9675
SOUTHWEST GENERAL HEALTH CENTER,301,25489969,1396066,1.0150,448806,0.9830,1257680,1.0151,2955652,0.8926,1440756,1.0021
ADENA REGIONAL MEDICAL CENTER,178,25414871,1158863,1.0221,717303,1.0584,1262637,1.1416,2070800,0.9930,1600067,1.0546
ST JOSEPH HEALTH CENTER,143,10869407,704566,0.9579,,0.9977,610787,1.0038,,1.0288,1189950,1.0345
CHRIST HOSPITAL,174,65281361,1316073,1.0000,685768,0.9753,898332,0.9726,777432,0.9916,1719539,0.9333
MERCY REGIONAL MEDICAL CENTER,82,38352320,584262,1.0116,522818,0.9519,524450,1.1402,,1.0969,638604,1.0622
BETHESDA NORTH,10,34474671,1239912,1.0910,585430,0.9540,1662032,1.0881,3124464,1.1516,2117416,1.0330
CLEVELAND CLINIC,0,88775879,1201357,0.9593,1887729,1.1316,1290345,1.2334,5651943,0.9882,4300282,1.0678
UH GEAUGA MEDICAL CENTER,126,10032953,474286,0.9805,,1.0183,598851,1.0579,,0.9920,676843,1.0081
TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,312,15976729,1257101,1.0588,,1.0126,1044177,0.9552,,1.0692,1571161,1.0946
LICKING MEMORIAL HOSPITAL,227,11314579,856111,1.1968,331756,1.0210,1160858,0.9989,,0.9192,851228,0.9460
HILLCREST HOSPITAL,380,32745994,1008323,0.8917,487643,0.9516,1309282,1.0089,2213562,1.1190,1945791,0.9663
MERCY ST ANNE HOSPITAL,112,7602980,790617,0.9339,210494,1.0170,767863,1.0108,,1.4691,793577,1.0245
HILLCREST MEDICAL CENTER,528,45197016,1192631,0.9877,1050369,1.0585,1149228,1.0391,5107089,1.0246,2003152,0.8955
INTEGRIS BASS BAPTIST HEALTH CENTER,183,7801661,713705,1.0249,,0.9837,507764,1.0120,,0.9070,446661,0.9613
INTEGRIS BAPTIST MEDICAL CENTER,549,52374384,1408957,0.9712,557292,0.9511,2118465,0.9415,3015897,1.1323,1643599,0.8740
ST ANTHONY HOSPITAL,533,47941220,785727,1.0360,422165,1.0037,1001825,1.0102,6765766,1.0100,1132116,0.9965
COMANCHE COUNTY MEMORIAL HOSPITAL,,21799412,620435,0.9344,,0.8728,612972,0.9518,,1.3058,1192196,0.9029
