state,state_abbreviation,organization_name,enrolled,total_state_ma_enrollment,market_share_in_state
Illinois,IL,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",9816,324018,0.030
Illinois,IL,"COVENTRY HEALTH CARE OF MISSOURI, INC",8371,324018,0.026
Illinois,IL,"ESSENCE HEALTHCARE, INC.",8002,324018,0.025
Illinois,IL,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",5882,324018,0.018
Illinois,IL,HEALTH CARE SERVICE CORPORATION,5730,324018,0.018
Illinois,IL,"HIGHMARK, INC.",2405,324018,0.007
Illinois,IL,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,2174,324018,0.007
Illinois,IL,"UNION HEALTH SERVICES, INC.",1659,324018,0.005
Illinois,IL,"MEDICAL ASSOCIATES HEALTH PLAN, INC.",1544,324018,0.005
Illinois,IL,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,1486,324018,0.005
Illinois,IL,"AETNA HEALTH, INC. (PA)",751,324018,0.002
Illinois,IL,SIDNEY HILLMAN HC,695,324018,0.002
Illinois,IL,WABASH MEMORIAL HOSPITAL ASSOCIATION,589,324018,0.002
Illinois,IL,BLUE CROSS BLUE SHIELD OF MICHIGAN,505,324018,0.002
Illinois,IL,THE PYRAMID LIFE INSURANCE COMPANY,422,324018,0.001
Illinois,IL,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,304,324018,0.001
Illinois,IL,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,204,324018,0.001
Illinois,IL,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,197,324018,0.001
Illinois,IL,"COMMUNITY CARE ALLIANCE OF ILLINOIS, NFP",192,324018,0.001
Illinois,IL,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",158,324018,0.000
Illinois,IL,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,54,324018,0.000
Illinois,IL,"ANTHEM INSURANCE COMPANIES, INC.",35,324018,0.000
Illinois,IL,"KAISER FOUNDATION HP, INC.",34,324018,0.000
Illinois,IL,"MMM HEALTHCARE, INC.",21,324018,0.000
Illinois,IL,"HUMANA MEDICAL PLAN, INC.",21,324018,0.000
Illinois,IL,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",17,324018,0.000
Illinois,IL,"MCS ADVANTAGE, INC.",15,324018,0.000
Indiana,IN,HUMANA INSURANCE COMPANY,60401,248243,0.243
Indiana,IN,UNITEDHEALTHCARE INSURANCE COMPANY,57014,248243,0.230
Indiana,IN,"ANTHEM INSURANCE COMPANIES, INC.",38682,248243,0.156
Indiana,IN,"ADVANTAGE HEALTH SOLUTIONS, INC.",18653,248243,0.075
Indiana,IN,"HUMANA HEALTH PLAN, INC.",16365,248243,0.066
Indiana,IN,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,11585,248243,0.047
Indiana,IN,BLUE CROSS BLUE SHIELD OF MICHIGAN,10295,248243,0.041
Indiana,IN,"INDIANA UNIVERSITY HEALTH PLANS, INC.",10281,248243,0.041
Indiana,IN,AETNA LIFE INSURANCE COMPANY,9509,248243,0.038
Indiana,IN,"HIGHMARK, INC.",9414,248243,0.038
Indiana,IN,THE PYRAMID LIFE INSURANCE COMPANY,3502,248243,0.014
Indiana,IN,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,924,248243,0.004
Indiana,IN,CIGNA HEALTH AND LIFE INSURANCE COMPANY,854,248243,0.003
Indiana,IN,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,554,248243,0.002
Indiana,IN,WABASH MEMORIAL HOSPITAL ASSOCIATION,129,248243,0.001
Indiana,IN,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,58,248243,0.000
Indiana,IN,"UNION HEALTH SERVICES, INC.",12,248243,0.000
Indiana,IN,SIDNEY HILLMAN HC,11,248243,0.000
Iowa,IA,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,20766,78333,0.265
Iowa,IA,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",19437,78333,0.248
Iowa,IA,HUMANA INSURANCE COMPANY,17600,78333,0.225
Iowa,IA,"MEDICAL ASSOCIATES HEALTH PLAN, INC.",8272,78333,0.106
Iowa,IA,"COVENTRY HEALTH CARE OF IOWA, INC.",3963,78333,0.051
Iowa,IA,"CHA HMO, INC.",2096,78333,0.027
Iowa,IA,UNITEDHEALTHCARE INSURANCE COMPANY,1819,78333,0.023
Iowa,IA,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",1634,78333,0.021
Iowa,IA,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,979,78333,0.012
Iowa,IA,AETNA LIFE INSURANCE COMPANY,555,78333,0.007
Iowa,IA,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,357,78333,0.005
Iowa,IA,THE PYRAMID LIFE INSURANCE COMPANY,246,78333,0.003
Iowa,IA,GUNDERSEN HEALTH PLAN,239,78333,0.003
Iowa,IA,"SIOUXLAND PACE, INC.",114,78333,0.001
Iowa,IA,"MERIDIAN HEALTH PLAN OF IOWA, INC.",87,78333,0.001
Iowa,IA,PACE IOWA,63,78333,0.001
Iowa,IA,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,51,78333,0.001
Iowa,IA,BLUE CROSS BLUE SHIELD OF MICHIGAN,29,78333,0.000
Iowa,IA,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,15,78333,0.000
Iowa,IA,WABASH MEMORIAL HOSPITAL ASSOCIATION,11,78333,0.000
Kansas,KS,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,19046,61527,0.310
Kansas,KS,"HUMANA HEALTH PLAN, INC.",15126,61527,0.246
Kansas,KS,HUMANA INSURANCE COMPANY,12615,61527,0.205
Kansas,KS,UNITEDHEALTHCARE INSURANCE COMPANY,6194,61527,0.101
Kansas,KS,"COVENTRY HEALTH CARE OF KANSAS, INC.",5768,61527,0.094
Kansas,KS,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,906,61527,0.015
Kansas,KS,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,563,61527,0.009
Kansas,KS,"HIGHMARK, INC.",480,61527,0.008
Kansas,KS,AETNA LIFE INSURANCE COMPANY,422,61527,0.007
Kansas,KS,VIA CHRISTI HEALTHCARE OUTREACH PROGRAM FOR ELDERS,168,61527,0.003
Kansas,KS,MIDLAND CARE CONNECTION,104,61527,0.002
Kansas,KS,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,68,61527,0.001
Kansas,KS,THE PYRAMID LIFE INSURANCE COMPANY,45,61527,0.001
Kansas,KS,BLUE CROSS BLUE SHIELD OF MICHIGAN,22,61527,0.000
Kentucky,KY,HUMANA INSURANCE COMPANY,122536,203364,0.603
Kentucky,KY,"ANTHEM INSURANCE COMPANIES, INC.",24377,203364,0.120
Kentucky,KY,"HUMANA HEALTH PLAN, INC.",13637,203364,0.067
Kentucky,KY,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",12343,203364,0.061
Kentucky,KY,"HUMANA HEALTH PLAN OF OHIO, INC.",7120,203364,0.035
Kentucky,KY,UNITEDHEALTHCARE INSURANCE COMPANY,5099,203364,0.025
Kentucky,KY,AETNA LIFE INSURANCE COMPANY,4903,203364,0.024
Kentucky,KY,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC",3524,203364,0.017
Kentucky,KY,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,2887,203364,0.014
Kentucky,KY,"UNITEDHEALTHCARE OF OHIO, INC.",2760,203364,0.014
Kentucky,KY,"HIGHMARK, INC.",1584,203364,0.008
Kentucky,KY,BLUE CROSS BLUE SHIELD OF MICHIGAN,1355,203364,0.007
Kentucky,KY,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,867,203364,0.004
Kentucky,KY,COMMUNITY INSURANCE COMPANY,347,203364,0.002
Kentucky,KY,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",14,203364,0.000
Kentucky,KY,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",11,203364,0.000
Louisiana,LA,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",109728,214265,0.512
Louisiana,LA,"PEOPLES HEALTH, INC.",57109,214265,0.267
Louisiana,LA,HUMANA INSURANCE COMPANY,22621,214265,0.106
Louisiana,LA,"VANTAGE HEALTH PLAN, INC.",11135,214265,0.052
Louisiana,LA,"WELLCARE OF LOUISIANA, INC.",7483,214265,0.035
Louisiana,LA,UNITEDHEALTHCARE INSURANCE COMPANY,4088,214265,0.019
Louisiana,LA,AETNA LIFE INSURANCE COMPANY,1345,214265,0.006
Louisiana,LA,"COVENTRY HEALTH CARE OF LOUISIANA, INC.",219,214265,0.001
Louisiana,LA,PACE GREATER NEW ORLEANS,134,214265,0.001
Louisiana,LA,"FRANCISCAN PACE, INC.",130,214265,0.001
Louisiana,LA,"HIGHMARK, INC.",128,214265,0.001
Louisiana,LA,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,78,214265,0.000
Louisiana,LA,BLUE CROSS BLUE SHIELD OF MICHIGAN,23,214265,0.000
Louisiana,LA,"KAISER FOUNDATION HP, INC.",18,214265,0.000
Louisiana,LA,"HUMANA MEDICAL PLAN, INC.",14,214265,0.000
Louisiana,LA,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,12,214265,0.000
Maine,ME,"MARTIN'S POINT GENERATIONS, LLC",28080,58278,0.482
Maine,ME,AETNA LIFE INSURANCE COMPANY,9943,58278,0.171
Maine,ME,"AETNA HEALTH, INC. (ME)",7149,58278,0.123
Maine,ME,UNITEDHEALTHCARE INSURANCE COMPANY,6709,58278,0.115
Maine,ME,"ARCADIAN HEALTH PLAN, INC.",4354,58278,0.075
Maine,ME,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,1311,58278,0.022
Maine,ME,"ANTHEM HEALTH PLANS OF MAINE, INC.",342,58278,0.006
Maine,ME,"ANTHEM INSURANCE COMPANIES, INC.",150,58278,0.003
Maine,ME,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,94,58278,0.002
Maine,ME,HUMANA INSURANCE COMPANY,81,58278,0.001
Maine,ME,BLUE CROSS BLUE SHIELD OF MICHIGAN,34,58278,0.001
Maine,ME,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",20,58278,0.000
Maine,ME,HARVARD PILGRIM HEALTH CARE INC.,11,58278,0.000
Maryland,MD,KAISER FNDN HP OF THE MID-ATLANTIC STS,32114,77134,0.416
Maryland,MD,"BRAVO HEALTH MID-ATLANTIC, INC.",15777,77134,0.205
Maryland,MD,"AETNA HEALTH, INC. (PA)",13732,77134,0.178
Maryland,MD,UNITEDHEALTHCARE INSURANCE COMPANY,7962,77134,0.103
Maryland,MD,AETNA LIFE INSURANCE COMPANY,4468,77134,0.058
Maryland,MD,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,1521,77134,0.020
Maryland,MD,HUMANA INSURANCE COMPANY,832,77134,0.011
Maryland,MD,"HIGHMARK, INC.",478,77134,0.006
Maryland,MD,THE JOHNS HOPKINS HEALTH SYSTEM CORPORATION,134,77134,0.002
Maryland,MD,BLUE CROSS BLUE SHIELD OF MICHIGAN,63,77134,0.001
Maryland,MD,"KAISER FOUNDATION HP, INC.",29,77134,0.000
Maryland,MD,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,24,77134,0.000
Massachusetts,MA,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,105432,229468,0.459
Massachusetts,MA,UNITEDHEALTHCARE INSURANCE COMPANY,36058,229468,0.157
Massachusetts,MA,"BCBS OF MASSACHUSETTS HMO BLUE, INC.",32543,229468,0.142
Massachusetts,MA,FALLON COMMUNITY HEALTH PLAN,17943,229468,0.078
Massachusetts,MA,"COMMONWEALTH CARE ALLIANCE, INC.",11346,229468,0.049
Massachusetts,MA,"SENIOR WHOLE HEALTH, LLC",8975,229468,0.039
Massachusetts,MA,"HEALTH NEW ENGLAND, INC.",8139,229468,0.035
Massachusetts,MA,"FALLON TOTAL CARE, INC.",2468,229468,0.011
Massachusetts,MA,AETNA LIFE INSURANCE COMPANY,1870,229468,0.008
Massachusetts,MA,ELDER SERVICE PLAN OF THE NORTH SHORE,794,229468,0.003
Massachusetts,MA,"NETWORK HEALTH, LLC",776,229468,0.003
Massachusetts,MA,HUMANA INSURANCE COMPANY,514,229468,0.002
Massachusetts,MA,BLUE CROSS BLUE SHIELD OF MICHIGAN,415,229468,0.002
Massachusetts,MA,"HARBOR HEALTH SERVICES, INC.",410,229468,0.002
Massachusetts,MA,ELDER SVC PLN/E BOSTON HEALTH CENTER,369,229468,0.002
Massachusetts,MA,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,310,229468,0.001
Massachusetts,MA,ELDER SVC PLAN OF THE CAMBRIDGE HEALTH ALLIANCE,243,229468,0.001
Massachusetts,MA,"UPHAMS CORNER HEALTH COMMITTEE, INC.",205,229468,0.001
Massachusetts,MA,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,175,229468,0.001
Massachusetts,MA,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,148,229468,0.001
Massachusetts,MA,"HIGHMARK, INC.",134,229468,0.001
Massachusetts,MA,HARVARD PILGRIM HEALTH CARE INC.,84,229468,0.000
Massachusetts,MA,"MMM HEALTHCARE, INC.",32,229468,0.000
Massachusetts,MA,"HUMANA MEDICAL PLAN, INC.",26,229468,0.000
Massachusetts,MA,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,23,229468,0.000
Massachusetts,MA,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",13,229468,0.000
Massachusetts,MA,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",12,229468,0.000
Massachusetts,MA,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.",11,229468,0.000
Michigan,MI,BLUE CROSS BLUE SHIELD OF MICHIGAN,245773,548951,0.448
Michigan,MI,PRIORITY HEALTH,86745,548951,0.158
Michigan,MI,BLUE CARE NETWORK OF MICHIGAN,58687,548951,0.107
Michigan,MI,HUMANA INSURANCE COMPANY,57839,548951,0.105
Michigan,MI,HEALTH ALLIANCE PLAN OF MICHIGAN,42443,548951,0.077
Michigan,MI,HEALTHPLUS OF MICHIGAN,19163,548951,0.035
Michigan,MI,"MOLINA HEALTHCARE OF MICHIGAN, INC.",10287,548951,0.019
Michigan,MI,AETNA LIFE INSURANCE COMPANY,6170,548951,0.011
Michigan,MI,"UNITEDHEALTHCARE COMMUNITY PLAN, INC",5457,548951,0.010
Michigan,MI,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,3401,548951,0.006
Michigan,MI,UNITEDHEALTHCARE INSURANCE COMPANY,3332,548951,0.006
Michigan,MI,"PARAMOUNT CARE, INC.",1576,548951,0.003
Michigan,MI,FIDELIS SECURECARE OF MICHIGAN,1569,548951,0.003
Michigan,MI,HEALTHPLUS INSURANCE COMPANY,1565,548951,0.003
Michigan,MI,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",1042,548951,0.002
Michigan,MI,"MIDWEST HEALTH PLAN, INC.",868,548951,0.002
Michigan,MI,"HIGHMARK, INC.",733,548951,0.001
Michigan,MI,"MCLAREN HEALTH PLAN, INC.",489,548951,0.001
Michigan,MI,"UPPER PENINSULA HEALTH PLAN, LLC",445,548951,0.001
Michigan,MI,CENTER FOR SENIOR INDEPENDENCE,268,548951,0.000
Michigan,MI,"HUMANA MEDICAL PLAN OF MICHIGAN, INC.",255,548951,0.000
Michigan,MI,LIFECIRCLES,207,548951,0.000
Michigan,MI,CARE RESOURCES,183,548951,0.000
Michigan,MI,COMPREHENSIVE SENIOR CARE CORPORATION,157,548951,0.000
Michigan,MI,"TOTAL HEALTH CARE, INC.",150,548951,0.000
Michigan,MI,WABASH MEMORIAL HOSPITAL ASSOCIATION,66,548951,0.000
Michigan,MI,"PACE OF SOUTHWEST MICHIGAN, INC.",63,548951,0.000
Michigan,MI,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,18,548951,0.000
Minnesota,MN,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,116797,449782,0.260
Minnesota,MN,MEDICA INSURANCE COMPANY,111494,449782,0.248
Minnesota,MN,UCARE MINNESOTA,99284,449782,0.221
Minnesota,MN,"GROUP HEALTH PLAN, INC. (MN)",45633,449782,0.101
Minnesota,MN,HUMANA INSURANCE COMPANY,35585,449782,0.079
Minnesota,MN,BLUE PLUS,17057,449782,0.038
Minnesota,MN,MEDICA HEALTH PLANS,10457,449782,0.023
Minnesota,MN,"HEALTHPARTNERS, INC.",3079,449782,0.007
Minnesota,MN,SOUTH COUNTRY HEALTH ALLIANCE,2240,449782,0.005
Minnesota,MN,PRIMEWEST CTRL COUNTY-BASED PURCHASING INITIATIVE,2080,449782,0.005
Minnesota,MN,"HIGHMARK, INC.",1529,449782,0.003
Minnesota,MN,UNITEDHEALTHCARE INSURANCE COMPANY,1314,449782,0.003
Minnesota,MN,METROPOLITAN HEALTH PLAN,931,449782,0.002
Minnesota,MN,AETNA LIFE INSURANCE COMPANY,812,449782,0.002
Minnesota,MN,GUNDERSEN HEALTH PLAN OF MINNESOTA,526,449782,0.001
Minnesota,MN,ITASCA MEDICAL CARE,488,449782,0.001
Minnesota,MN,BLUE CROSS BLUE SHIELD OF MICHIGAN,286,449782,0.001
Minnesota,MN,PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,190,449782,0.000
Mississippi,MS,HUMANA INSURANCE COMPANY,32739,71068,0.461
Mississippi,MS,"WINDSOR HEALTH PLAN, INC.",17593,71068,0.248
Mississippi,MS,"HUMANA MEDICAL PLAN, INC.",9324,71068,0.131
Mississippi,MS,"HEALTHSPRING OF TENNESSEE, INC.",8293,71068,0.117
Mississippi,MS,THE PYRAMID LIFE INSURANCE COMPANY,1285,71068,0.018
Mississippi,MS,AETNA LIFE INSURANCE COMPANY,848,71068,0.012
Mississippi,MS,UNITEDHEALTHCARE INSURANCE COMPANY,841,71068,0.012
Mississippi,MS,BLUE CROSS BLUE SHIELD OF MICHIGAN,72,71068,0.001
Mississippi,MS,"HIGHMARK, INC.",36,71068,0.001
Mississippi,MS,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,24,71068,0.000
Mississippi,MS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",13,71068,0.000
Missouri,MO,"COVENTRY HEALTH CARE OF MISSOURI, INC",55782,288567,0.193
Missouri,MO,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",45456,288567,0.158
Missouri,MO,"HUMANA HEALTH PLAN, INC.",36778,288567,0.127
Missouri,MO,"ESSENCE HEALTHCARE, INC.",32734,288567,0.113
Missouri,MO,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,27770,288567,0.096
Missouri,MO,UNITEDHEALTHCARE INSURANCE COMPANY,24086,288567,0.083
Missouri,MO,HUMANA INSURANCE COMPANY,22390,288567,0.078
Missouri,MO,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,20981,288567,0.073
Missouri,MO,"COVENTRY HEALTH CARE OF KANSAS, INC.",9496,288567,0.033
Missouri,MO,"ANTHEM INSURANCE COMPANIES, INC.",3989,288567,0.014
Missouri,MO,BLUE CROSS BLUE SHIELD OF MICHIGAN,3181,288567,0.011
Missouri,MO,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",3070,288567,0.011
Missouri,MO,AETNA LIFE INSURANCE COMPANY,1077,288567,0.004
Missouri,MO,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,671,288567,0.002
Missouri,MO,WABASH MEMORIAL HOSPITAL ASSOCIATION,316,288567,0.001
Missouri,MO,"HIGHMARK, INC.",223,288567,0.001
Missouri,MO,ALEXIAN BROTHERS COMMUNITY SERVICES,159,288567,0.001
Missouri,MO,THE PYRAMID LIFE INSURANCE COMPANY,155,288567,0.001
Missouri,MO,"HMO MISSOURI, INC.",120,288567,0.000
Missouri,MO,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,76,288567,0.000
Missouri,MO,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",26,288567,0.000
Missouri,MO,SAN MATEO HEALTH COMMISSION,19,288567,0.000
Missouri,MO,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,12,288567,0.000
Montana,MT,NEW WEST HEALTH SERVICES,21635,31611,0.684
Montana,MT,HUMANA INSURANCE COMPANY,7381,31611,0.233
Montana,MT,UNITEDHEALTHCARE INSURANCE COMPANY,2028,31611,0.064
Montana,MT,REGENCE BLUECROSS BLUESHIELD OF OREGON,237,31611,0.007
Montana,MT,AETNA LIFE INSURANCE COMPANY,164,31611,0.005
Montana,MT,HEALTH CARE SERVICE CORPORATION,60,31611,0.002
Montana,MT,THE PYRAMID LIFE INSURANCE COMPANY,60,31611,0.002
Montana,MT,BLUE CROSS BLUE SHIELD OF MICHIGAN,35,31611,0.001
Montana,MT,"KAISER FOUNDATION HP, INC.",11,31611,0.000
Nebraska,NE,UNITEDHEALTHCARE INSURANCE COMPANY,7798,35656,0.219
Nebraska,NE,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",7284,35656,0.204
Nebraska,NE,"HUMANA HEALTH PLAN, INC.",4565,35656,0.128
Nebraska,NE,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",4244,35656,0.119
Nebraska,NE,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,3610,35656,0.101
Nebraska,NE,HUMANA INSURANCE COMPANY,3359,35656,0.094
Nebraska,NE,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,1954,35656,0.055
Nebraska,NE,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,1935,35656,0.054
Nebraska,NE,"HIGHMARK, INC.",463,35656,0.013
Nebraska,NE,"HEALTH ALLIANCE - MIDWEST, INC.",180,35656,0.005
Nebraska,NE,AETNA LIFE INSURANCE COMPANY,117,35656,0.003
Nebraska,NE,THE PYRAMID LIFE INSURANCE COMPANY,95,35656,0.003
Nebraska,NE,PACE NEBRASKA,52,35656,0.001
Nevada,NV,"HEALTH PLAN OF NEVADA, INC.",53234,136528,0.390
Nevada,NV,"HUMANA HEALTH PLAN, INC.",37183,136528,0.272
Nevada,NV,HOMETOWN HEALTH PLAN,15109,136528,0.111
Nevada,NV,"PACIFICARE OF NEVADA, INC.",10888,136528,0.080
Nevada,NV,CAREMORE HEALTH PLAN OF NEVADA,5460,136528,0.040
Nevada,NV,HUMANA INSURANCE COMPANY,5143,136528,0.038
Nevada,NV,AETNA LIFE INSURANCE COMPANY,3919,136528,0.029
Nevada,NV,"AETNA HEALTH, INC. (PA)",2110,136528,0.015
Nevada,NV,UNITEDHEALTHCARE INSURANCE COMPANY,1110,136528,0.008
Nevada,NV,"KAISER FOUNDATION HP, INC.",942,136528,0.007
Nevada,NV,BLUE CROSS BLUE SHIELD OF MICHIGAN,548,136528,0.004
Nevada,NV,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,205,136528,0.002
Nevada,NV,"HIGHMARK, INC.",112,136528,0.001
Nevada,NV,SCAN HEALTH PLAN,66,136528,0.000
Nevada,NV,"ANTHEM INSURANCE COMPANIES, INC.",63,136528,0.000
Nevada,NV,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,50,136528,0.000
Nevada,NV,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",49,136528,0.000
Nevada,NV,HAWAII MEDICAL SERVICE ASSOCIATION,39,136528,0.000
Nevada,NV,"HEALTH NET OF CALIFORNIA,INC.",37,136528,0.000
Nevada,NV,CALIFORNIA PHYSICIANS' SERVICE,30,136528,0.000
Nevada,NV,REGENCE BLUECROSS BLUESHIELD OF UTAH,25,136528,0.000
Nevada,NV,"HUMANA MEDICAL PLAN, INC.",25,136528,0.000
Nevada,NV,HEALTHNOW NEW YORK INC.,24,136528,0.000
Nevada,NV,CAREMORE HEALTH PLAN,24,136528,0.000
Nevada,NV,"UHC OF CALIFORNIA, INC.",24,136528,0.000
Nevada,NV,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",22,136528,0.000
Nevada,NV,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",18,136528,0.000
Nevada,NV,AETNA HEALTH OF CALIFORNIA INC.,16,136528,0.000
Nevada,NV,EASY CHOICE HEALTH PLAN INC.,15,136528,0.000
Nevada,NV,KAISER FOUNDATION HP OF CO,14,136528,0.000
Nevada,NV,"MVP HEALTH PLAN, INC.",12,136528,0.000
Nevada,NV,"HUMANA HEALTH PLAN OF TEXAS, INC.",12,136528,0.000
New Hampshire,NH,UNITEDHEALTHCARE INSURANCE COMPANY,7293,15991,0.456
New Hampshire,NH,"ARCADIAN HEALTH PLAN, INC.",2571,15991,0.161
New Hampshire,NH,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",2103,15991,0.132
New Hampshire,NH,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,898,15991,0.056
New Hampshire,NH,HUMANA INSURANCE COMPANY,763,15991,0.048
New Hampshire,NH,AETNA LIFE INSURANCE COMPANY,585,15991,0.037
New Hampshire,NH,"MARTIN'S POINT GENERATIONS, LLC",573,15991,0.036
New Hampshire,NH,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,297,15991,0.019
New Hampshire,NH,"MATTHEW THORNTON HEALTH PLAN, INC.",273,15991,0.017
New Hampshire,NH,"HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.",268,15991,0.017
New Hampshire,NH,"ANTHEM INSURANCE COMPANIES, INC.",256,15991,0.016
New Hampshire,NH,AULTCARE INSURANCE COMPANY,65,15991,0.004
New Hampshire,NH,FALLON COMMUNITY HEALTH PLAN,32,15991,0.002
New Hampshire,NH,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,14,15991,0.001
New Jersey,NJ,"OXFORD HEALTH PLANS (NJ), INC.",75064,218519,0.344
New Jersey,NJ,"HORIZON HEALTHCARE OF NEW JERSEY, INC.",39512,218519,0.181
New Jersey,NJ,"AETNA HEALTH, INC. (NJ)",34192,218519,0.156
New Jersey,NJ,"AMERIHEALTH HMO, INC.",19849,218519,0.091
New Jersey,NJ,AETNA LIFE INSURANCE COMPANY,16210,218519,0.074
New Jersey,NJ,UNITEDHEALTHCARE INSURANCE COMPANY,12183,218519,0.056
New Jersey,NJ,"HEALTHFIRST HEALTH PLAN OF NEW JERSEY, INC.",5909,218519,0.027
New Jersey,NJ,"AMERIGROUP NEW JERSEY, INC.",3400,218519,0.016
New Jersey,NJ,GEISINGER HEALTH PLAN,3074,218519,0.014
New Jersey,NJ,CAREPOINT INSURANCE COMPANY,2102,218519,0.010
New Jersey,NJ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",1499,218519,0.007
New Jersey,NJ,"GEISINGER QUALITY OPTIONS, INC.",1078,218519,0.005
New Jersey,NJ,HUMANA INSURANCE COMPANY,992,218519,0.005
New Jersey,NJ,"HIGHMARK, INC.",812,218519,0.004
New Jersey,NJ,BLUE CROSS BLUE SHIELD OF MICHIGAN,792,218519,0.004
New Jersey,NJ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",332,218519,0.002
New Jersey,NJ,LIFE ST. FRANCIS,241,218519,0.001
New Jersey,NJ,NY HOTEL TRADES COUNCIL & HOTEL ASSOCIATION OF NYC,214,218519,0.001
