hospital_name,city,state,staffed_beds,total_discharges,patient_days,gross_patient_revenue
HOLMES REGIONAL MEDICAL CENTER,Melbourne,Florida,514,26458,144059,1761614
HOLY CROSS HOSPITAL,Fort Lauderdale,Florida,559,16656,78182,1699160
HOMESTEAD HOSPITAL,Homestead,Florida,142,9794,37530,846359
INDIAN RIVER MEMORIAL HOSPITAL,Vero Beach,Florida,336,13199,59095,509757
JACKSON HOSPITAL,Marianna,Florida,66,3002,14211,132711
JACKSON MEMORIAL HOSPITAL,Miami,Florida,1732,49509,347843,4021835
JACKSON NORTH MEDICAL CENTER,North Miami Beach,Florida,0,0,0,
JACKSON SOUTH COMMUNITY HOSPITAL,Miami,Florida,0,0,0,
JACKSON SOUTH COMMUNITY HOSPITAL,Miami,Florida,192,8219,40306,164920
JAMES A. HALEY VETERANS' HOSPITAL,Tampa,Florida,0,0,0,
JAY HOSPITAL,Jay,Florida,49,513,2143,43192
JFK MEDICAL CENTER,Atlantis,Florida,448,26452,115455,2748374
JUPITER MEDICAL CENTER,Jupiter,Florida,163,10233,46654,846581
KENDALL REGIONAL MEDICAL CENTER,Miami,Florida,417,21024,91644,2242378
LAKE CITY MEDICAL CENTER,Lake City,Florida,67,4039,16898,327009
LAKE CITY VA MEDICAL CENTER,Lake City,Florida,0,0,0,
LAKE WALES MEDICAL CENTER,Lake Wales,Florida,131,4600,20459,469459
LAKELAND REGIONAL MEDICAL CENTER,Lakeland,Florida,851,36816,171916,2740325
LAKESIDE MEDICAL CENTER,Belle Glade,Florida,70,3611,11720,120679
LAKEWOOD RANCH MEDICAL CENTER,Lakewood Ranch,Florida,120,5766,17603,428150
LARGO MEDICAL CENTER,Largo,Florida,339,15380,69795,1750347
LARGO MEDICAL CENTER - INDIAN ROCKS CAMPUS,Largo,Florida,177,4886,22705,199048
LARKIN COMMUNITY HOSPITAL,South Miami,Florida,130,5289,30359,275604
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,Fort Pierce,Florida,370,18065,83045,1867175
LEE MEMORIAL HOSPITAL,Fort Myers,Florida,835,39225,176429,2584100
LEESBURG REGIONAL MEDICAL CENTER,Leesburg,Florida,316,16442,78071,860267
LEHIGH REGIONAL MEDICAL CENTER,Lehigh Acres,Florida,88,2919,12853,354614
LOWER KEYS MEDICAL CENTER,Key West,Florida,152,4471,16566,343698
MALCOM RANDALL VA MEDICAL CENTER,Gainesville,Florida,0,0,0,
MANATEE MEMORIAL HOSPITAL,Bradenton,Florida,319,17416,79626,1288727
MARTIN HOSPITAL SOUTH,Stuart,Florida,0,0,0,
MARTIN MEDICAL CENTER,Stuart,Florida,344,18163,78009,1660309
MAYO CLINIC FLORIDA,Jacksonville,Florida,249,13011,62266,1083832
MEASE COUNTRYSIDE HOSPITAL,Safety Harbor,Florida,291,17954,73251,1103596
MEASE DUNEDIN HOSPITAL,Dunedin,Florida,113,4654,20797,317168
MEDICAL CENTER OF DAYTONA BEACH,Daytona Beach,Florida,530,20645,105832,1264220
MEDICAL CENTER OF PORT ORANGE,Port Orange,Florida,0,0,0,
MEDICAL CENTER OF TRINITY,Trinity,Florida,282,12827,56436,1277812
MEMORIAL HOSPITAL,Jacksonville,Florida,418,20739,101517,2366264
MEMORIAL HOSPITAL MIRAMAR,Miramar,Florida,178,11437,38110,726649
MEMORIAL HOSPITAL OF TAMPA,Tampa,Florida,183,4416,19493,344447
MEMORIAL HOSPITAL PEMBROKE,Pembroke Pines,Florida,301,6108,25373,698638
MEMORIAL HOSPITAL WEST,Pembroke Pines,Florida,384,24032,99221,2104891
MEMORIAL REGIONAL HOSPITAL,Hollywood,Florida,1037,33828,168736,3826542
MEMORIAL REGIONAL HOSPITAL SOUTH,Hollywood,Florida,0,0,0,
MERCY HOSPITAL,Miami,Florida,343,15269,77813,1107218
MIAMI JEWISH HEALTH SYSTEMS,Miami,Florida,454,356,2767,72881
MIAMI VA HEALTHCARE SYSTEM,Miami,Florida,0,0,0,
MORTON PLANT HOSPITAL,Clearwater,Florida,623,25503,108458,1882920
MORTON PLANT NORTH BAY HOSPITAL,New Port Richey,Florida,226,10274,47478,480066
MOUNT SINAI MEDICAL CENTER,Miami Beach,Florida,590,19841,116950,2098008
MUNROE REGIONAL MEDICAL CENTER,Ocala,Florida,421,22134,110975,1729062
NAVAL HOSPITAL JACKSONVILLE,Jacksonville,Florida,0,0,0,
NAVAL HOSPITAL PENSACOLA,Pensacola,Florida,0,0,0,
NCH DOWNTOWN NAPLES HOSPITAL,Naples,Florida,716,27741,125368,1534181
NCH NORTH NAPLES HOSPITAL,Naples,Florida,0,0,0,
NORTH FLORIDA REGIONAL MEDICAL CENTER,Gainesville,Florida,414,24344,100097,2676434
NORTH OKALOOSA MEDICAL CENTER,Crestview,Florida,110,5639,21864,921270
NORTH SHORE MEDICAL CENTER,Miami,Florida,775,23513,125569,1982872
NORTHSIDE HOSPITAL & TAMPA BAY HEART INSTITUTE,Saint Petersburg,Florida,220,9274,41278,1070897
NORTHWEST MEDICAL CENTER,Margate,Florida,223,14163,58002,1299047
OAK HILL HOSPITAL,Brooksville,Florida,262,13938,60724,1645985
OCALA REGIONAL MEDICAL CENTER,Ocala,Florida,270,17202,70393,1648459
ORANGE PARK MEDICAL CENTER,Orange Park,Florida,297,17562,80808,2157787
ORLANDO REGIONAL MEDICAL CENTER,Orlando,Florida,1510,83454,369800,6878782
OSCEOLA REGIONAL MEDICAL CENTER,Kissimmee,Florida,321,18166,83556,2062426
PALM BAY HOSPITAL,Palm Bay,Florida,152,5861,27840,387696
PALM BEACH GARDENS MEDICAL CENTER,Palm Beach Gardens,Florida,199,9356,44859,894417
PALM SPRINGS GENERAL HOSPITAL,Hialeah,Florida,247,4721,26775,263690
PALMETTO GENERAL HOSPITAL,Hialeah,Florida,360,21590,100678,1612990
PALMS OF PASADENA HOSPITAL,Saint Petersburg,Florida,307,4269,21991,341806
PALMS WEST HOSPITAL,Loxahatchee,Florida,204,12654,50481,927819
PARRISH MEDICAL CENTER,Titusville,Florida,210,7348,30154,546492
PHYSICIANS REGIONAL - COLLIER BOULEVARD,Naples,Florida,0,0,0,
PHYSICIANS REGIONAL - PINE RIDGE,Naples,Florida,201,9824,40817,1360740
PLANTATION GENERAL HOSPITAL,Plantation,Florida,655,27279,125629,2308807
POINCIANA MEDICAL CENTER,Kissimmee,Florida,0,0,0,
PUTNAM COMMUNITY MEDICAL CENTER,Palatka,Florida,99,4864,21638,260074
RAULERSON HOSPITAL,Okeechobee,Florida,100,5139,21810,374020
RECEPTION AND MEDICAL CENTER,Lake Butler,Florida,0,0,0,
REGIONAL GENERAL HOSPITAL WILLISTON,Williston,Florida,40,455,1160,15761
REGIONAL MEDICAL CENTER BAYONET POINT,Hudson,Florida,278,14157,65933,1544608
SACRED HEART HOSPITAL,Pensacola,Florida,466,28619,123275,1455275
SACRED HEART HOSPITAL ON THE EMERALD COAST,Miramar Beach,Florida,58,5420,15175,444287
SACRED HEART HOSPITAL ON THE GULF,Port Saint Joe,Florida,19,534,1322,29316
SAINT ANTHONY'S HOSPITAL,Saint Petersburg,Florida,337,16037,80309,1060259
SAINT CLOUD REGIONAL MEDICAL CENTER,Saint Cloud,Florida,84,4005,16671,311893
SAINT JOSEPH'S HOSPITAL,Tampa,Florida,986,53228,225529,3002441
SAINT JOSEPH'S HOSPITAL - NORTH,Lutz,Florida,0,0,0,
SAINT JOSEPH'S WOMEN'S HOSPITAL,Tampa,Florida,0,0,0,
SAINT LUCIE MEDICAL CENTER,Port Saint Lucie,Florida,229,13258,55268,1151176
SAINT MARY'S MEDICAL CENTER,West Palm Beach,Florida,464,15516,98879,1293193
SAINT PETERSBURG GENERAL HOSPITAL,Saint Petersburg,Florida,215,7175,31149,827738
SAINT VINCENT'S MEDICAL CENTER RIVERSIDE,Jacksonville,Florida,510,26270,129211,2018949
SAINT VINCENT'S MEDICAL CENTER SOUTHSIDE,Jacksonville,Florida,311,11557,49176,810863
SANTA ROSA MEDICAL CENTER,Milton,Florida,129,4125,15666,401631
SARASOTA MEMORIAL HOSPITAL,Sarasota,Florida,612,23000,106069,1943029
SEBASTIAN RIVER MEDICAL CENTER,Sebastian,Florida,154,4838,20656,678476
SEVEN RIVERS REGIONAL MEDICAL CENTER,Crystal River,Florida,128,6261,25950,533636
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,Lake City,Florida,99,4654,19838,228349
SOUTH BAY HOSPITAL,Sun City Center,Florida,112,7105,32360,624822
SOUTH FLORIDA BAPTIST HOSPITAL,Plant City,Florida,144,6398,23451,437963
SOUTH LAKE HOSPITAL,Clermont,Florida,122,7814,29931,645323
SOUTH MIAMI HOSPITAL,South Miami,Florida,458,15850,85546,1690036
SOUTH SEMINOLE HOSPITAL,Longwood,Florida,0,0,0,
SYLVESTER COMPREHENSIVE CANCER CENTER/UMHC,Miami,Florida,40,1311,10814,1426042
TALLAHASSEE MEMORIAL HEALTHCARE,Tallahassee,Florida,603,26479,112794,1770724
TAMPA COMMUNITY HOSPITAL,Tampa,Florida,221,3779,17103,266783
TAMPA GENERAL HOSPITAL,Tampa,Florida,947,40499,250217,4994691
THE VILLAGES REGIONAL HOSPITAL,The Villages,Florida,223,13988,59639,679975
TRADITION MEDICAL CENTER,Port St. Lucie,Florida,0,0,0,
TWIN CITIES HOSPITAL,Niceville,Florida,59,1832,6744,310542
UF HEALTH AT JACKSONVILLE,Jacksonville,Florida,541,25380,131574,2151766
UF HEALTH CANCER CENTER AT ORLANDO HEALTH,Orlando,Florida,0,0,0,
UF HEALTH SHANDS AT THE UNIVERSITY OF FLORIDA,Gainesville,Florida,883,38199,239770,3149125
UNIVERSITY HOSPITAL AND MEDICAL CENTER,Tamarac,Florida,317,8289,35841,743248
UNIVERSITY OF MIAMI HOSPITAL,Miami,Florida,514,21114,119901,1994301
VENICE REGIONAL BAYFRONT HEALTH,Venice,Florida,312,10052,45527,1126093
VIERA HOSPITAL,Melbourne,Florida,84,3580,14127,281658
WELLINGTON REGIONAL MEDICAL CENTER,Wellington,Florida,233,13581,54030,818593
WEST BOCA MEDICAL CENTER,West Boca Raton,Florida,195,10109,46309,551603
WEST FLORIDA HOSPITAL,Pensacola,Florida,515,11442,49046,1241913
WEST KENDALL BAPTIST HOSPITAL,Miami,Florida,133,5752,25364,626242
WEST MARION COMMUNITY HOSPITAL,Ocala,Florida,0,0,0,
WEST PALM BEACH VA MEDICAL CENTER,West Palm Beach,Florida,0,0,0,
WEST PALM HOSPITAL,West Palm Beach,Florida,235,5884,21141,547876
WESTCHESTER GENERAL HOSPITAL,Miami,Florida,197,6491,36270,173424
WESTSIDE REGIONAL MEDICAL CENTER,Plantation,Florida,224,13522,59527,1189995
WINTER HAVEN HOSPITAL,Winter Haven,Florida,527,15960,74046,1326348
WINTER PARK MEMORIAL HOSPITAL,Winter Park,Florida,0,0,0,
WUESTHOFF MEDICAL CENTER - MELBOURNE,Melbourne,Florida,119,4832,24013,604936
WUESTHOFF MEDICAL CENTER - ROCKLEDGE,Rockledge,Florida,298,11718,55412,1125059
DORMINY MEDICAL CENTER,Fitzgerald,Georgia,75,1588,4535,54515
APPLING HOSPITAL,Baxley,Georgia,145,1173,5095,75157
ATHENS REGIONAL MEDICAL CENTER,Athens,Georgia,358,18142,81748,1281382
ATLANTA MEDICAL CENTER,Atlanta,Georgia,554,16760,98754,1865290
ATLANTA MEDICAL CENTER - SOUTH CAMPUS,East Point,Georgia,198,4828,25554,580936
ATLANTA VA MEDICAL CENTER,Decatur,Georgia,0,0,0,
BARROW REGIONAL MEDICAL CENTER,Winder,Georgia,56,2396,7124,215203
BERRIEN COUNTY HOSPITAL,Nashville,Georgia,147,568,2268,33173
BURKE MEDICAL CENTER,Waynesboro,Georgia,40,515,1647,18692
CANCER TREATMENT CENTERS OF AMERICA AT SOUTHEASTERN REGIONAL MEDICAL CENTER,Newnan,Georgia,25,602,3548,
CANDLER HOSPITAL,Savannah,Georgia,267,11805,72356,920327
CARTERSVILLE MEDICAL CENTER,Cartersville,Georgia,112,6649,28691,720408
CHARLIE NORWOOD VA MEDICAL CENTER,Augusta,Georgia,0,0,0,
CHESTATEE REGIONAL HOSPITAL,Dahlonega,Georgia,48,1060,3570,62638
CLEARVIEW REGIONAL MEDICAL CENTER ,Monroe,Georgia,77,3717,12491,269598
COFFEE REGIONAL MEDICAL CENTER,Douglas,Georgia,85,5058,19320,279830
COLISEUM MEDICAL CENTER,Macon,Georgia,237,11290,53380,813917
COLISEUM NORTHSIDE HOSPITAL,Macon,Georgia,103,2565,9137,204571
COLQUITT REGIONAL MEDICAL CENTER,Moultrie,Georgia,100,4620,18731,220088
COLUMBUS REGIONAL HEALTH NORTHSIDE MEDICAL CENTER,Columbus,Georgia,100,2134,5809,191929
COOK MEDICAL CENTER,Adel,Georgia,140,748,2589,41471
CRISP REGIONAL HOSPITAL,Cordele,Georgia,216,3026,14392,153566
DEKALB MEDICAL AT HILLANDALE,Lithonia,Georgia,100,5486,25038,262301
DEKALB MEDICAL AT NORTH DECATUR,Decatur,Georgia,489,19603,104459,861287
DOCTORS HOSPITAL OF AUGUSTA,Augusta,Georgia,286,13470,67694,1566996
DOCTORS SPECIALTY HOSPITAL,Columbus,Georgia,169,3783,12762,184768
DODGE COUNTY HOSPITAL,Eastman,Georgia,45,1498,6331,62874
DONALSONVILLE HOSPITAL,Donalsonville,Georgia,140,1864,6617,68162
DUBLIN VA MEDICAL CENTER,Dublin,Georgia,0,0,0,
EAST GEORGIA REGIONAL MEDICAL CENTER,Statesboro,Georgia,150,9496,30890,691746
EASTSIDE MEDICAL CENTER,Snellville,Georgia,254,10418,41219,876228
EISENHOWER ARMY MEDICAL CENTER,Fort Gordon,Georgia,0,0,0,
ELBERT MEMORIAL HOSPITAL,Elberton,Georgia,52,971,3950,33832
EMANUEL MEDICAL CENTER,Swainsboro,Georgia,94,1453,5621,69006
EMORY JOHNS CREEK HOSPITAL,Johns Creek,Georgia,118,5704,24954,299153
EMORY SAINT JOSEPH'S HOSPITAL ,Atlanta,Georgia,257,12763,66200,923096
EMORY UNIVERSITY HOSPITAL,Atlanta,Georgia,579,24215,153730,2006741
EMORY UNIVERSITY HOSPITAL MIDTOWN,Atlanta,Georgia,431,24727,129980,1527562
EMORY UNIVERSITY ORTHOPAEDICS & SPINE HOSPITAL,Tucker,Georgia,0,0,0,
EVANS MEMORIAL HOSPITAL,Claxton,Georgia,49,852,2980,47579
FAIRVIEW PARK HOSPITAL,Dublin,Georgia,160,7438,27620,488527
FANNIN REGIONAL HOSPITAL,Blue Ridge,Georgia,50,1423,4640,154369
FLINT RIVER COMMUNITY HOSPITAL,Montezuma,Georgia,49,318,1300,17597
FLOYD MEDICAL CENTER,Rome,Georgia,299,11576,59243,972032
GEORGIA REGENTS MEDICAL CENTER,Augusta,Georgia,478,19096,115695,1606258
GORDON HOSPITAL,Calhoun,Georgia,69,4266,17933,375628
GRADY GENERAL HOSPITAL,Cairo,Georgia,46,1100,3555,55194
GRADY MEMORIAL HOSPITAL,Atlanta,Georgia,915,27446,163522,2460481
GWINNETT MEDICAL CENTER - DULUTH,Duluth,Georgia,0,0,0,
GWINNETT MEDICAL CENTER - LAWRENCEVILLE,Lawrenceville,Georgia,531,26961,130927,1918593
HABERSHAM MEDICAL CENTER,Demorest,Georgia,137,2205,8380,106020
HAMILTON MEDICAL CENTER,Dalton,Georgia,282,8802,40717,644585
HOUSTON MEDICAL CENTER,Warner Robins,Georgia,237,14997,73392,664008
HUTCHESON MEDICAL CENTER,Fort Oglethorpe,Georgia,243,3319,12280,187458
IRWIN COUNTY HOSPITAL,Ocilla,Georgia,64,1664,4105,39044
JEFFERSON HOSPITAL,Louisville,Georgia,37,671,2214,20627
JOHN D. ARCHBOLD MEMORIAL HOSPITAL,Thomasville,Georgia,328,10801,53271,672438
MARTIN ARMY COMMUNITY HOSPITAL,Fort Benning,Georgia,0,0,0,
MAYO CLINIC HEALTH SYSTEM WAYCROSS,Waycross,Georgia,364,7951,33318,373000
MEADOWS REGIONAL MEDICAL CENTER,Vidalia,Georgia,65,5333,16943,415791
MEMORIAL HOSPITAL AND MANOR,Bainbridge,Georgia,187,1923,7583,101532
MEMORIAL UNIVERSITY MEDICAL CENTER,Savannah,Georgia,520,28419,131373,1710853
MIDTOWN MEDICAL CENTER,Columbus,Georgia,450,13136,78295,775241
MURRAY MEDICAL CENTER,Chatsworth,Georgia,29,359,1188,45732
NEWTON MEDICAL CENTER,Covington,Georgia,87,5654,20263,297093
NORTH FULTON REGIONAL HOSPITAL,Roswell,Georgia,202,6564,29448,843650
NORTH GEORGIA MEDICAL CENTER,Ellijay,Georgia,140,844,3180,58729
NORTHEAST GEORGIA MEDICAL CENTER,Gainesville,Georgia,774,23843,112073,2058907
NORTHRIDGE MEDICAL CENTER,Commerce,Georgia,239,835,2878,54749
NORTHSIDE HOSPITAL - ATLANTA,Atlanta,Georgia,491,28384,176902,3795726
NORTHSIDE HOSPITAL - CHEROKEE,Canton,Georgia,79,4694,23109,541256
NORTHSIDE HOSPITAL - FORSYTH,Cumming,Georgia,208,10163,59439,1114546
OCONEE REGIONAL MEDICAL CENTER,Milledgeville,Georgia,120,3522,18207,194158
PERRY HOSPITAL,Perry,Georgia,39,1458,6687,88651
PHOEBE NORTH,Albany,Georgia,124,1490,20630,256946
PHOEBE PUTNEY MEMORIAL HOSPITAL,Albany,Georgia,522,20487,113242,1401362
PHOEBE SUMTER MEDICAL CENTER,Americus,Georgia,54,2705,8559,144428
PIEDMONT ATLANTA HOSPITAL,Atlanta,Georgia,515,28188,148827,2501432
PIEDMONT FAYETTE HOSPITAL,Fayetteville,Georgia,172,14735,52411,937995
PIEDMONT HENRY HOSPITAL,Stockbridge,Georgia,277,13911,52828,878658
PIEDMONT MOUNTAINSIDE HOSPITAL,Jasper,Georgia,52,3051,9203,246400
PIEDMONT NEWNAN HOSPITAL,Newnan,Georgia,136,7264,26526,510591
REDMOND REGIONAL MEDICAL CENTER,Rome,Georgia,230,9837,42957,830879
ROCKDALE MEDICAL CENTER,Conyers,Georgia,121,8706,40565,517388
SAINT FRANCIS HOSPITAL,Columbus,Georgia,325,13497,71192,649371
SAINT JOSEPH'S HOSPITAL,Savannah,Georgia,253,10379,55439,732031
SAINT MARY'S HOSPITAL,Athens,Georgia,168,7967,32334,563023
SMITH NORTHVIEW HOSPITAL,Valdosta,Georgia,41,3194,11383,162701
SOUTH GEORGIA MEDICAL CENTER,Valdosta,Georgia,380,15444,70913,777517
SOUTHEAST GEORGIA HEALTH SYSTEM - BRUNSWICK CAMPUS,Brunswick,Georgia,316,11483,57918,552510
SOUTHEAST GEORGIA HEALTH SYSTEM - CAMDEN CAMPUS,Saint Marys,Georgia,40,1906,8346,102625
SOUTHERN REGIONAL MEDICAL CENTER,Riverdale,Georgia,278,12781,68924,783330
SPALDING REGIONAL MEDICAL CENTER,Griffin,Georgia,160,8391,36823,672744
STEPHENS COUNTY HOSPITAL,Toccoa,Georgia,87,2177,8742,105766
TANNER MEDICAL CENTER CARROLLTON,Carrollton,Georgia,165,7360,30484,518192
TANNER MEDICAL CENTER VILLA RICA,Villa Rica,Georgia,92,2043,8826,224866
TAYLOR REGIONAL HOSPITAL,Hawkinsville,Georgia,55,1225,3980,68739
THE MEDICAL CENTER OF CENTRAL GEORGIA,Macon,Georgia,600,32173,169540,1958542
TIFT REGIONAL MEDICAL CENTER,Tifton,Georgia,191,9973,46014,914120
TRINITY HOSPITAL OF AUGUSTA,Augusta,Georgia,156,4665,18332,330687
TURNING POINT HOSPITAL,Moultrie,Georgia,59,2604,10355,46677
TY COBB REGIONAL MEDICAL CENTER ,Lavonia,Georgia,56,1511,6516,86244
UNION GENERAL HOSPITAL,Blairsville,Georgia,195,1649,5728,87906
UNIVERSITY HOSPITAL,Augusta,Georgia,510,20759,114639,1079961
UNIVERSITY HOSPITAL MCDUFFIE,Thomson,Georgia,25,418,1529,37050
UPSON REGIONAL MEDICAL CENTER,Thomaston,Georgia,120,3385,12912,234176
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,Sandersville,Georgia,116,1253,4885,57078
WAYNE MEMORIAL HOSPITAL,Jesup,Georgia,115,3047,13113,123650
WELLSTAR COBB HOSPITAL,Austell,Georgia,370,18000,92910,1278501
WELLSTAR DOUGLAS HOSPITAL,Douglasville,Georgia,102,6927,28298,509905
WELLSTAR KENNESTONE HOSPITAL,Marietta,Georgia,572,35421,160407,2777249
WELLSTAR PAULDING HOSPITAL,Hiram,Georgia,216,2031,6464,266504
WESLEY WOODS HOSPITAL,Atlanta,Georgia,77,2,27,79985
WEST GEORGIA HEALTH SYSTEM WEST GEORGIA MEDICAL CENTER,LaGrange,Georgia,426,7314,28427,430852
WINN ARMY COMMUNITY HOSPITAL,Fort Stewart,Georgia,0,0,0,
GUAM MEMORIAL HOSPITAL AUTHORITY,Oka Tamuning,Guam,193,10882,49750,141365
U.S. NAVAL HOSPITAL GUAM,Agana Heights,Guam,0,0,0,
CASTLE MEDICAL CENTER,Kailua,Hawaii,160,7506,35968,375698
HILO MEDICAL CENTER,Hilo,Hawaii,276,7582,37464,329650
KAISER PERMANENTE MOANALUA MEDICAL CENTER & CLINIC,Honolulu,Hawaii,238,10861,62139,
KONA COMMUNITY HOSPITAL,Kealakekua,Hawaii,94,3177,14456,142882
KUAKINI MEDICAL CENTER,Honolulu,Hawaii,347,6092,41831,377727
MAUI MEMORIAL MEDICAL CENTER,Wailuku,Hawaii,213,10037,56375,479594
NORTH HAWAII COMMUNITY HOSPITAL,Kamuela,Hawaii,33,1705,6645,127340
PALI MOMI MEDICAL CENTER,Aiea,Hawaii,128,6575,44938,669247
STRAUB CLINIC AND HOSPITAL,Honolulu,Hawaii,159,7687,45223,856176
THE QUEEN'S MEDICAL CENTER,Honolulu,Hawaii,495,25258,148029,1550206
TRIPLER ARMY MEDICAL CENTER,Honolulu,Hawaii,0,0,0,
WAHIAWA GENERAL HOSPITAL,Wahiawa,Hawaii,160,2962,15192,128306
WILCOX MEMORIAL HOSPITAL,Lihue,Hawaii,72,3895,15738,259343
BROADLAWNS MEDICAL CENTER,Des Moines,Iowa,107,3433,17975,170309
CHI HEALTH MERCY COUNCIL BLUFFS,Council Bluffs,Iowa,164,7807,27525,385958
COVENANT MEDICAL CENTER,Waterloo,Iowa,240,7925,32178,595326
FORT MADISON COMMUNITY HOSPITAL,Fort Madison,Iowa,50,1832,5839,129371
"GENESIS MEDICAL CENTER EAST, DAVENPORT",Davenport,Iowa,292,15060,60164,848859
"GENESIS MEDICAL CENTER, WEST CENTRAL PARK",Davenport,Iowa,0,0,0,
GLENWOOD RESOURCE CENTER,Glenwood,Iowa,0,0,0,
GREAT RIVER MEDICAL CENTER,West Burlington,Iowa,314,6180,26566,365433
GRINNELL REGIONAL MEDICAL CENTER,Grinnell,Iowa,49,1304,4820,83948
IOWA CITY VA MEDICAL CENTER,Iowa City,Iowa,0,0,0,
IOWA LUTHERAN HOSPITAL,Des Moines,Iowa,182,7348,32477,416205
IOWA METHODIST MEDICAL CENTER,Des Moines,Iowa,480,28179,124504,1780739
KEOKUK AREA HOSPITAL,Keokuk,Iowa,49,1226,4368,49742
LAKES REGIONAL HOSPITAL,Spirit Lake,Iowa,44,839,3162,58370
MARSHALLTOWN MEDICAL & SURGICAL CENTER,Marshalltown,Iowa,114,2601,8837,118514
MARY GREELEY MEDICAL CENTER,Ames,Iowa,193,7545,32993,450044
MERCY IOWA CITY,Iowa City,Iowa,234,7923,31260,373821
MERCY MEDICAL CENTER,Cedar Rapids,Iowa,259,9462,39324,852851
MERCY MEDICAL CENTER - CLINTON,Clinton,Iowa,236,4609,17833,251119
MERCY MEDICAL CENTER - DES MOINES (CENTRAL CAMPUS),Des Moines,Iowa,608,34763,159921,1910058
MERCY MEDICAL CENTER - DUBUQUE,Dubuque,Iowa,211,7574,29846,312052
MERCY MEDICAL CENTER - NORTH IOWA,Mason City,Iowa,240,11223,40918,733346
MERCY MEDICAL CENTER - SIOUX CITY,Sioux City,Iowa,227,9086,39294,445550
MERCY MEDICAL CENTER WEST LAKES,West Des Moines,Iowa,0,0,0,
METHODIST JENNIE EDMUNDSON,Council Bluffs,Iowa,110,4888,21329,272924
METHODIST WEST HOSPITAL,West Des Moines,Iowa,0,0,0,
OTTUMWA REGIONAL HEALTH CENTER,Ottumwa,Iowa,106,2952,11864,230831
SAINT ANTHONY REGIONAL HOSPITAL,Carroll,Iowa,152,1602,6938,116764
SAINT LUKE'S HOSPITAL,Cedar Rapids,Iowa,339,15399,58734,970549
SARTORI MEMORIAL HOSPITAL,Cedar Falls,Iowa,50,1019,3758,94227
SKIFF MEDICAL CENTER,Newton,Iowa,48,1373,5944,77570
SPENCER HOSPITAL,Spencer,Iowa,80,2104,8060,147513
TRINITY BETTENDORF,Bettendorf,Iowa,70,3409,10947,179576
UNITYPOINT HEALTH - ALLEN HOSPITAL,Waterloo,Iowa,199,10012,37201,542236
UNITYPOINT HEALTH - FINLEY,Dubuque,Iowa,117,4389,17404,254140
UNITYPOINT HEALTH - ST. LUKES,Sioux City,Iowa,190,8265,35559,329425
UNITYPOINT HEALTH - TRINITY MUSCATINE,Muscatine,Iowa,48,1563,5112,117158
UNITYPOINT HEATLH- FORT DODGE,Fort Dodge,Iowa,107,4540,14322,259984
UNIVERSITY OF IOWA HOSPITALS & CLINICS,Iowa City,Iowa,693,28166,169945,2827818
VA CENTRAL IOWA HEALTH CARE SYSTEM - DES MOINES MEDICAL CENTER,Des Moines,Iowa,0,0,0,
366TH MEDICAL GROUP - MOUNTAIN HOME AIR FORCE BASE,Mountain Home Air Force Base,Idaho,0,0,0,
BOISE VA MEDICAL CENTER,Boise,Idaho,0,0,0,
EASTERN IDAHO REGIONAL MEDICAL CENTER,Idaho Falls,Idaho,300,10618,50122,717695
IDAHO DOCTORS' HOSPITAL,Blackfoot,Idaho,8,146,344,16122
KOOTENAI MEDICAL CENTER,Coeur d'Alene,Idaho,268,16060,58123,759206
MADISON MEMORIAL HOSPITAL,Rexburg,Idaho,69,2674,9817,85700
MOUNTAIN VIEW HOSPITAL,Idaho Falls,Idaho,41,2326,7350,226981
NORTHWEST SPECIALTY HOSPITAL,Post Falls,Idaho,34,993,2001,82570
PORTNEUF MEDICAL CENTER,Pocatello,Idaho,175,7574,29040,584846
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,Nampa,Idaho,152,5552,17050,237438
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,Boise,Idaho,350,15376,64786,1102614
SAINT JOSEPH REGIONAL MEDICAL CENTER,Lewiston,Idaho,117,4392,18822,306795
SAINT LUKE'S BOISE MEDICAL CENTER,Boise,Idaho,567,27261,116945,2113346
SAINT LUKE'S MAGIC VALLEY MEDICAL CENTER,Twin Falls,Idaho,194,9464,33591,549230
SAINT LUKE'S MERIDIAN MEDICAL CENTER,Meridian,Idaho,0,0,0,
TREASURE VALLEY HOSPITAL,Boise,Idaho,10,446,823,73939
WEST VALLEY MEDICAL CENTER,Caldwell,Idaho,99,4597,15932,255141
375TH MEDICAL GROUP - SCOTT AIR FORCE BASE MEDICAL CENTER,Scott Air Force Base,`,0,0,0,
ADVENTIST BOLINGBROOK HOSPITAL,Bolingbrook,Illinois,138,5555,21577,414914
ADVENTIST GLENOAKS HOSPITAL,Glendale Heights,Illinois,140,4928,25004,236319
ADVENTIST HINSDALE HOSPITAL,Hinsdale,Illinois,276,11115,48616,940024
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,La Grange,Illinois,187,8087,36780,580577
ADVOCATE BROMENN REGIONAL MEDICAL CENTER,Normal,Illinois,200,8715,35652,435089
ADVOCATE CHRIST MEDICAL CENTER,Oak Lawn,Illinois,675,37329,189806,2754767
